id	norm	tau0	eta/s	N_pi_1020	N_pi_2030	N_pi_3040	N_pi_4050	N_K_1020	N_K_2030	N_K_3040	N_K_4050	N_p_1020	N_p_2030	N_p_3040	N_p_4050	v_2_1020	v_2_2030	v_2_3040	v_2_4050
100	182.71585	0.25908	0.19820	641.53300	426.79600	275.43000	167.87200	104.01100	69.11200	45.35900	27.70800	32.70000	22.07500	14.47500	9.07700	0.05360	0.07010	0.07900	0.08150
101	149.34683	0.79893	0.12735	1359.94600	903.88000	582.22800	352.86500	217.47900	145.28700	94.30700	57.41700	68.50100	46.11200	30.21200	18.53000	0.06390	0.08560	0.09890	0.10760
102	261.13139	1.04217	0.06061	2967.59200	1968.46500	1274.11600	777.72900	469.87800	313.37900	204.30600	125.69100	146.97400	98.74400	65.17400	40.07900	0.07400	0.10300	0.12210	0.13210
103	143.71482	0.48546	0.11772	835.17100	553.98100	356.61600	219.69900	133.62900	89.69400	58.25300	35.61600	42.68600	28.41500	18.92700	11.44600	0.06220	0.08500	0.09730	0.10080
104	351.43647	0.88150	0.12668	3472.51400	2308.27700	1479.46700	907.93100	550.98700	367.40500	238.85300	146.76700	171.38200	115.62200	75.63900	46.92600	0.07070	0.09620	0.11210	0.12080
105	274.85453	0.33057	0.17828	1154.49400	766.87600	496.49500	304.93600	184.76200	124.33900	80.55900	49.50000	58.88200	39.66600	25.78900	16.20200	0.06100	0.08300	0.09300	0.09710
106	272.59178	1.06628	0.12072	3252.06500	2160.16900	1394.38000	849.23000	514.42400	344.88100	224.20000	137.06500	160.54200	108.70500	70.80800	44.11300	0.06920	0.09510	0.11020	0.11660
107	308.55739	1.03778	0.18697	3630.70100	2419.31100	1568.28500	958.07400	574.04200	385.34300	250.97100	155.45800	178.23300	121.19500	80.01500	49.54300	0.06520	0.08700	0.10140	0.10670
108	82.55817	0.98441	0.05606	887.31000	587.54400	379.90300	230.41000	142.45500	94.67600	61.43700	38.02700	44.51600	30.03000	19.57500	12.02500	0.06700	0.09070	0.10530	0.11130
109	136.17990	1.13030	0.05290	1675.95900	1118.14700	724.87600	444.17800	266.71700	178.83600	116.21600	71.78700	83.48000	56.17900	36.93400	22.96500	0.07100	0.09810	0.11580	0.12520
110	221.42912	0.65702	0.08902	1644.17900	1093.39200	704.26700	432.83800	263.07300	175.11100	113.35500	70.17000	82.45500	55.76400	36.49100	22.79100	0.07000	0.09600	0.11370	0.12240
111	315.49840	0.93334	0.17188	3317.70700	2207.32800	1423.93800	875.26200	524.89400	352.44600	227.74400	142.19300	164.80900	111.13500	72.66500	45.24500	0.06540	0.09030	0.10330	0.11180
112	359.43876	0.90853	0.07495	3615.27100	2400.15900	1549.26400	949.50200	571.26100	383.13700	248.86000	153.54800	177.99600	120.40600	79.11800	49.00300	0.07550	0.10390	0.12340	0.13490
113	244.97530	0.59748	0.03859	1616.01000	1072.14800	694.37500	426.54500	257.94200	172.18600	112.42600	69.42400	80.83700	54.86600	36.37500	22.29700	0.07580	0.10470	0.12420	0.13690
114	67.53702	1.12578	0.15062	863.55800	571.25900	369.20000	225.67100	138.25100	92.30000	59.78400	36.41700	43.58600	29.20300	19.17400	11.77000	0.05400	0.07250	0.08460	0.08870
115	330.49661	1.09027	0.17576	4048.33600	2681.40900	1734.08200	1063.65100	639.84400	426.98400	278.63100	171.89200	200.18200	134.47800	88.03000	55.02500	0.06590	0.08910	0.10430	0.11060
116	306.45385	0.42576	0.05030	1477.43500	982.99100	633.94200	388.68800	235.82300	157.97300	102.49400	63.46400	74.64300	50.70800	33.02900	20.51400	0.07680	0.10500	0.12480	0.13510
117	220.12875	0.78728	0.13496	1972.14500	1310.58600	842.97200	514.73000	314.11100	209.61200	136.17500	83.91700	98.94800	66.39500	43.34900	26.96900	0.06720	0.09120	0.10470	0.11170
118	298.69121	0.71740	0.09963	2413.55400	1599.56500	1034.32800	636.68500	382.78300	257.75400	166.62200	103.08900	120.45300	80.80500	53.02900	33.08200	0.07200	0.09840	0.11560	0.12380
119	246.33515	1.16237	0.16796	3216.43100	2136.42700	1373.81800	841.84700	508.42100	341.31200	221.53300	135.90300	158.08000	107.35200	69.97600	43.54900	0.06380	0.08760	0.10150	0.10620
120	191.78988	0.21687	0.06449	510.62800	339.09700	217.99300	133.24500	82.74000	55.31100	35.67700	22.11900	26.21100	17.67900	11.52800	7.07900	0.06560	0.09070	0.10650	0.11340
121	137.62083	0.50361	0.06669	783.80500	520.03400	333.91400	205.07100	125.91000	83.96100	54.70100	33.22600	39.75300	26.94200	17.64800	10.79700	0.06660	0.09280	0.10660	0.11590
122	125.16438	1.18239	0.05459	1608.42500	1069.65500	690.89100	420.82300	255.23200	171.79200	111.50300	68.93700	79.99600	54.00600	35.41300	22.26500	0.07040	0.09610	0.11200	0.12580
123	164.23523	1.08335	0.04297	1921.42200	1269.90000	823.93100	503.22900	305.18900	203.19400	131.80400	81.67700	95.09600	64.04900	42.09500	26.41200	0.07310	0.10200	0.11990	0.13070
124	166.53598	0.27862	0.18896	620.76900	410.55100	263.40700	161.04600	100.40500	66.43600	43.13800	26.47000	31.48300	21.46800	13.99700	8.48600	0.05490	0.07060	0.08240	0.08150
125	184.83013	0.23314	0.13701	561.96900	372.00400	240.33700	145.85000	90.52300	61.00900	39.35600	23.76700	28.94200	19.31800	12.66300	7.95600	0.05790	0.07830	0.08910	0.09480
126	223.13558	1.11507	0.15661	2802.90500	1864.90500	1199.14800	732.26300	444.11900	298.07900	193.10700	118.21400	138.54500	93.54800	61.30100	37.93300	0.06470	0.08650	0.10100	0.10760
127	334.36698	0.77623	0.10618	2919.19400	1940.04900	1253.94200	766.00300	463.34000	311.27100	202.75900	124.50500	145.31900	98.01900	64.41800	39.98300	0.07140	0.09870	0.11430	0.12320
128	88.79483	1.05777	0.15954	1065.62000	705.18300	452.99600	275.57500	170.80100	113.50000	73.78800	44.93500	53.70500	35.77400	23.45400	14.45100	0.05640	0.07580	0.08580	0.08880
129	115.94521	0.50577	0.05893	671.51600	446.85500	289.08800	176.37000	107.52500	72.53600	46.60600	28.89000	34.01600	23.19600	14.98700	9.53100	0.06600	0.09050	0.10720	0.11060
130	211.61152	0.74249	0.14014	1787.85400	1190.72400	765.15200	465.71500	284.99500	191.42800	124.00200	76.00300	89.96700	60.84700	39.41700	24.45300	0.06540	0.08820	0.10230	0.10860
131	161.39627	0.38724	0.16359	783.69800	520.39500	335.05100	204.32100	126.35500	84.10400	54.80400	33.46000	39.99500	27.15800	17.55300	10.94000	0.05850	0.07910	0.09010	0.09080
132	340.11724	0.20629	0.03502	824.99200	549.82700	356.14600	219.33800	133.28400	89.02600	57.96800	35.90300	41.94400	28.28600	18.37900	11.81400	0.07400	0.10270	0.12170	0.13320
133	321.39011	1.15364	0.19036	4127.15800	2735.69300	1765.32700	1084.85800	650.46900	433.56400	282.91200	175.78900	202.93900	136.31900	89.84400	55.64300	0.06540	0.08760	0.10200	0.10740
134	353.39158	0.75807	0.14158	3052.50900	2031.18400	1311.37700	801.52300	484.47100	324.42100	211.36400	129.56200	151.33300	102.58600	67.16300	41.60600	0.06900	0.09390	0.11030	0.11620
135	122.19116	0.28123	0.02950	387.22200	255.60300	164.67300	101.62900	62.50800	41.73800	26.97000	16.39700	19.89600	13.48300	8.55800	5.46400	0.06640	0.09250	0.10490	0.11170
136	313.26187	0.65253	0.18580	2380.22200	1575.95100	1012.32800	618.30700	378.50300	253.15800	163.50100	100.72900	118.47500	80.46400	52.15300	32.23500	0.06400	0.08650	0.10010	0.10490
137	247.54558	0.97167	0.18959	2748.76500	1816.85300	1171.16800	718.31300	436.17400	291.08700	188.38100	116.76800	135.82200	91.62900	59.95200	37.51600	0.06280	0.08430	0.09750	0.10300
138	131.15166	0.75049	0.08291	1104.02200	732.10500	472.30500	288.57900	175.64900	118.23100	77.05800	47.34200	55.40500	37.27400	24.64300	15.12800	0.06610	0.09060	0.10840	0.11320
139	310.30479	1.14833	0.11144	3929.83200	2603.22500	1677.36600	1027.31500	619.29000	415.60300	269.54900	165.98200	193.30400	130.15500	84.83600	53.22800	0.07120	0.09750	0.11380	0.12320
140	198.70350	0.56852	0.15830	1337.79600	886.17100	570.83400	349.91900	213.97500	143.12100	92.94400	57.17800	67.45600	45.38800	29.53400	18.33700	0.06170	0.08420	0.09830	0.10110
141	98.64386	0.35691	0.03057	397.82200	264.11600	170.82600	103.09900	64.54600	42.45300	27.42400	16.94100	20.42900	13.79600	9.04100	5.55900	0.06460	0.08910	0.10530	0.11720
142	232.70997	1.07909	0.16988	2822.69500	1879.29200	1209.03400	742.16700	447.03300	300.07000	195.57600	120.79800	140.10700	94.78900	61.95400	38.45000	0.06350	0.08640	0.09980	0.10630
143	96.12017	0.36394	0.04738	397.57900	263.36100	170.12800	104.00100	64.63200	42.86600	27.63100	17.21800	20.51300	13.79100	8.88700	5.62100	0.06390	0.08580	0.10400	0.10600
144	128.12244	1.08597	0.16143	1565.95100	1043.18400	672.65900	412.50500	249.56300	167.79900	108.46200	67.21600	78.10400	53.20300	34.73400	21.32000	0.06090	0.07930	0.09150	0.09850
145	209.48852	1.06446	0.16307	2503.17300	1663.98400	1071.78100	656.95000	396.74800	266.13900	172.87500	106.59500	123.97700	83.48900	54.73100	34.36400	0.06360	0.08640	0.10010	0.10560
146	214.50873	0.70161	0.09764	1701.90500	1132.34400	728.36400	445.99200	271.18200	181.57900	117.69000	72.50700	85.23000	57.56300	37.40500	23.44700	0.06960	0.09270	0.10930	0.11710
147	120.47833	0.99403	0.10169	1331.56300	886.43900	573.09700	347.62200	212.61800	143.00200	92.30400	56.60800	66.35100	44.72600	29.84700	18.08200	0.06470	0.08830	0.10320	0.10900
148	92.73171	1.07314	0.07600	1102.01500	732.36100	472.16700	287.79900	175.57600	117.71700	76.08200	46.73100	54.95400	36.97400	24.26300	15.14100	0.06420	0.08760	0.10340	0.10820
149	277.14623	0.57730	0.18229	1898.81600	1263.20200	812.68700	496.14700	303.34100	203.45600	131.69000	80.91100	95.23800	64.37200	41.82700	25.92000	0.06350	0.08590	0.09800	0.10100
150	354.39540	0.78374	0.14135	3135.44900	2085.32900	1346.66900	822.19500	496.51200	334.00600	216.72300	133.35700	155.51800	104.82800	68.96300	43.04600	0.06950	0.09500	0.11060	0.11770
151	267.66682	0.73640	0.19707	2309.14600	1535.00300	983.66000	599.93100	367.22400	245.13800	159.25200	97.82800	114.90100	77.83500	50.51800	31.01400	0.06230	0.08370	0.09760	0.10070
152	130.44056	0.47839	0.19102	767.70500	508.15100	325.36700	197.60700	122.93700	82.21500	52.91500	32.74000	39.19000	26.40800	16.94700	10.51000	0.05350	0.07370	0.08080	0.08290
153	314.16427	1.14481	0.03551	3892.45800	2586.96300	1666.71200	1018.70000	616.11900	411.74800	266.37300	164.87300	191.39600	128.98600	84.14400	52.64900	0.07790	0.10700	0.12710	0.14030
154	174.03716	0.58594	0.07864	1158.90400	768.03900	494.93100	301.63200	184.71100	123.40500	80.43000	49.30900	58.11100	39.01600	25.78300	15.70300	0.06960	0.09480	0.11070	0.11890
155	282.43675	1.12477	0.10427	3496.21100	2318.07900	1494.11900	916.53800	552.22000	368.94200	240.50100	147.85600	172.71400	115.94800	75.89200	47.38800	0.07120	0.09800	0.11470	0.12290
156	259.55039	0.69851	0.03199	1978.52800	1316.06800	848.97900	517.97100	314.44400	210.62500	137.29300	84.11900	98.64800	66.58100	43.70200	27.14800	0.07680	0.10770	0.12740	0.14050
157	70.65056	0.60848	0.14291	510.89100	337.36500	216.63500	131.72000	81.40100	54.82800	35.62900	21.58100	26.09400	17.42200	11.43200	6.99800	0.05330	0.07230	0.08150	0.08450
158	152.12974	0.92232	0.07341	1546.01400	1027.11500	659.31600	402.15300	246.81200	164.90400	106.70900	65.14700	76.97900	52.03300	33.96700	21.31900	0.06890	0.09550	0.11280	0.12070
159	328.92999	1.05440	0.03919	3759.98000	2498.90700	1607.55500	983.55900	593.45800	398.84400	257.56400	158.54800	185.46300	125.75400	81.70000	50.56200	0.07790	0.10810	0.12810	0.14010
160	268.73447	0.37602	0.18475	1267.68800	844.05000	544.18100	335.53600	203.52300	136.23300	88.36800	55.22400	64.35900	43.41600	28.47300	17.83900	0.06160	0.08270	0.09460	0.09860
161	154.96757	1.09749	0.05374	1848.10700	1225.80100	790.78100	482.39000	293.68000	197.03300	127.87300	78.33200	92.03500	61.87900	40.13400	25.10600	0.07290	0.09900	0.11880	0.12660
162	235.25630	0.83386	0.02140	2112.99400	1411.90400	907.24500	556.86500	337.39400	225.39200	146.52500	90.38700	105.17500	71.12600	46.12800	28.91800	0.07750	0.10870	0.12790	0.14080
163	172.28940	0.63084	0.17111	1272.57500	843.22700	544.17300	332.32900	203.51300	136.21800	88.25500	54.45900	64.01100	42.73300	28.16100	17.20200	0.05960	0.08160	0.09130	0.09830
164	113.48164	0.89443	0.13570	1147.31000	764.67600	489.72300	300.96500	183.50700	123.41800	79.57600	48.69900	57.12300	39.13600	25.39300	15.75100	0.06010	0.08160	0.09260	0.09690
165	75.28089	0.31000	0.04536	273.48700	181.80900	117.35000	71.85900	44.03400	29.49700	19.23500	11.75800	14.13500	9.55200	6.18800	3.98200	0.05650	0.07860	0.09230	0.08990
166	347.99256	0.94121	0.04663	3560.02600	2365.61900	1519.61100	935.34800	564.41600	377.48600	244.62600	150.54900	175.58700	118.25800	77.40100	48.32900	0.07770	0.10730	0.12690	0.14000
167	238.14340	0.29241	0.17516	903.11300	598.50300	384.01400	234.91500	144.96500	97.01700	62.98400	38.64200	45.86500	30.84500	20.18700	12.53700	0.05840	0.07840	0.08930	0.09510
168	250.45220	0.79262	0.03342	2155.60600	1432.59900	922.99300	565.17000	343.01500	228.65300	149.16300	91.96300	107.04200	72.39200	47.33400	29.10800	0.07740	0.10670	0.12760	0.13840
169	145.98459	0.95864	0.02799	1517.26700	1011.66100	650.69900	397.67600	241.89200	161.89300	104.96200	64.63800	76.28200	51.29900	33.40400	20.87600	0.07350	0.10270	0.11940	0.12990
170	327.22258	1.13518	0.02181	4025.51400	2673.18500	1719.29400	1051.67000	636.46400	425.74100	275.89900	170.04800	197.91600	134.14600	87.29100	53.75800	0.08000	0.11010	0.13120	0.14490
171	199.84588	1.10340	0.10941	2436.94300	1619.78700	1041.56600	634.95500	385.93400	258.96000	168.07900	103.59000	120.71900	81.63500	52.95000	33.14900	0.06870	0.09260	0.10740	0.11690
172	134.13533	0.53274	0.06713	807.67200	536.84400	348.79900	212.95000	130.06200	87.09300	56.41900	34.96500	41.02300	27.85800	18.31900	11.26500	0.06740	0.09350	0.10880	0.11370
173	79.09680	0.93733	0.10292	831.78700	553.14300	354.38900	217.18000	133.42400	88.68200	57.49800	35.73000	41.64900	28.30100	18.36600	11.60300	0.06110	0.08220	0.09670	0.10000
174	94.62582	0.53608	0.08365	583.61200	387.06000	250.47100	152.48000	94.14300	63.01200	40.69700	24.99300	29.72600	19.92700	13.12500	8.14600	0.06370	0.08440	0.09780	0.10380
175	217.74503	0.64294	0.12380	1601.74200	1059.70300	680.75200	418.43200	256.27200	170.99100	110.31600	68.38200	80.73400	54.38000	35.40700	22.21600	0.06780	0.09170	0.10530	0.11370
176	283.60451	0.41045	0.12523	1394.49100	926.63500	601.15900	367.28500	223.30800	149.95400	97.57300	59.91200	70.35400	48.11300	31.29400	19.42400	0.06630	0.08980	0.10460	0.11130
177	162.17040	0.81940	0.07305	1476.69500	982.50700	634.24800	388.16400	235.58500	158.16000	102.47400	63.55400	73.94300	50.16200	32.69200	20.10300	0.06990	0.09600	0.11170	0.12260
178	64.85317	0.21064	0.18752	195.17800	128.35600	80.72600	47.95900	31.55500	20.95500	13.27900	8.03100	10.17500	6.78200	4.28400	2.64000	0.03920	0.05000	0.04950	0.04780
179	263.08814	0.60174	0.06960	1761.76600	1169.24900	758.62700	463.06100	281.02500	187.83500	123.23300	75.34400	87.94200	59.52100	39.47000	24.34200	0.07290	0.10060	0.11890	0.12900
