id	norm	tau0	eta/s	N_pi_1020	N_pi_2030	N_pi_3040	N_pi_4050	N_K_1020	N_K_2030	N_K_3040	N_K_4050	N_p_1020	N_p_2030	N_p_3040	N_p_4050	v_2_1020	v_2_2030	v_2_3040	v_2_4050
0	127.19821	0.99587	0.14484	1437.41800	956.60100	617.26900	375.97500	229.04700	152.95600	99.78500	61.31500	71.97700	48.62900	31.83200	19.65800	0.06140	0.08240	0.09690	0.09900
1	196.49973	0.94955	0.12554	2098.59400	1386.77700	893.03000	549.06100	332.94100	221.96200	144.26600	88.87900	105.02400	70.09300	46.22500	28.31500	0.06570	0.08950	0.10390	0.11060
2	196.78500	0.90397	0.11039	1976.10300	1318.18900	845.62300	519.04700	314.82400	211.03000	136.42700	84.54000	98.98300	66.43400	43.38000	27.22400	0.06780	0.09210	0.10780	0.11720
3	319.64539	0.52603	0.15714	2006.73300	1330.95100	857.64200	524.83700	319.69400	214.59800	138.85400	85.76500	100.38900	68.19400	44.35400	27.62800	0.06630	0.08990	0.10420	0.10870
4	296.33902	0.37159	0.04497	1224.78600	819.80600	527.49400	321.03800	195.80200	131.78100	85.02800	52.72000	62.14400	41.77300	27.75000	16.84900	0.07550	0.10590	0.12560	0.13430
5	183.95125	0.63765	0.06035	1319.33600	878.39400	569.76100	347.01900	210.99100	141.04500	91.57800	56.38600	66.30300	44.89600	29.43500	18.29000	0.07060	0.09790	0.11540	0.12170
6	111.95279	1.02551	0.08008	1274.79900	848.90300	546.08500	332.51900	203.07800	136.21200	87.63000	54.19900	63.79600	42.95000	28.00500	17.12600	0.06650	0.09000	0.10500	0.11140
7	226.06819	0.34796	0.03792	890.75300	591.68200	380.54600	233.25200	143.15600	95.61200	61.91500	38.07000	45.26800	30.27700	19.98400	12.45600	0.07390	0.10060	0.11990	0.13020
8	66.24736	0.22671	0.14703	208.95000	138.33700	88.16600	52.89900	33.87800	22.57000	14.49800	8.81300	10.89300	7.34200	4.74800	2.90300	0.04480	0.05510	0.06300	0.05890
9	93.03618	1.01521	0.06781	1050.06900	696.56600	451.32300	273.97500	166.28700	112.60100	73.31900	44.72600	52.55000	35.64900	23.06500	14.44000	0.06620	0.08960	0.10550	0.11280
10	256.17856	0.51849	0.11478	1541.92900	1019.66200	654.09200	401.09800	246.02400	163.23500	106.26900	65.73800	77.74200	52.15100	34.20200	21.18400	0.06750	0.09380	0.10880	0.11600
11	213.50098	0.40138	0.17369	1057.00400	700.86300	452.64300	276.01900	169.70100	113.39300	73.36300	44.97600	53.61500	36.35300	23.54500	14.67600	0.05920	0.08210	0.09150	0.09520
12	356.33888	1.02124	0.06355	3967.44800	2634.06700	1696.82800	1034.43800	626.73800	418.78700	272.38500	167.23800	195.65300	131.85600	86.16400	53.24400	0.07660	0.10590	0.12540	0.13530
13	270.88082	0.29907	0.14842	1026.87800	683.89800	442.30200	272.13000	164.75300	110.94800	72.45400	44.45500	52.26600	35.57100	22.98600	14.25900	0.06260	0.08580	0.09950	0.10220
14	343.73017	0.44716	0.09429	1773.46500	1178.90200	762.59200	467.79300	283.06100	189.58500	123.96100	76.21100	88.91700	60.07500	39.51000	24.48700	0.07350	0.09950	0.11790	0.12700
15	323.24645	1.01469	0.08555	3608.75800	2399.88900	1547.21000	946.31400	570.70200	382.88100	248.45100	153.05200	178.03100	119.88200	78.80100	49.30200	0.07310	0.10000	0.11800	0.12760
16	286.15647	0.49658	0.16110	1699.08900	1127.00000	724.61900	444.49300	270.67500	181.24600	117.28200	72.34800	85.24600	57.59600	37.31100	23.43600	0.06600	0.08780	0.10200	0.10640
17	85.93194	0.92666	0.10276	898.05500	599.89300	386.43600	235.37000	144.33000	97.01600	62.84000	38.59200	45.47900	30.75500	19.84700	12.20100	0.06090	0.08370	0.09820	0.10370
18	201.85173	0.91433	0.09353	2045.79200	1355.41700	868.34100	532.89800	325.35300	216.81700	139.18200	86.66600	101.30000	68.45900	44.43900	27.75300	0.07000	0.09630	0.11270	0.11950
19	60.87608	0.47053	0.16627	354.95700	235.06800	150.16900	90.73100	57.57900	38.02800	24.42300	14.84300	18.28700	12.31400	7.93400	4.93700	0.04650	0.06310	0.06850	0.06930
20	277.60310	0.38415	0.04129	1179.23400	785.83600	508.51300	312.36500	188.17500	126.99500	82.18600	51.06800	59.70300	40.35500	26.67400	16.43300	0.07660	0.10420	0.12370	0.13660
21	302.77932	0.46728	0.03995	1571.10300	1046.45800	675.18300	413.79900	251.70300	167.79500	110.05500	67.19200	78.29800	53.60800	34.97600	21.32600	0.07790	0.10580	0.12640	0.13850
22	335.97024	0.35483	0.04237	1317.43000	876.41300	569.09400	349.27600	211.77100	141.48100	92.76500	56.78100	66.45800	44.84000	29.86500	18.61500	0.07650	0.10680	0.12630	0.13780
23	165.86397	0.45593	0.13062	913.30700	608.46900	391.66100	240.46600	145.73200	98.47100	64.02700	39.51200	46.54300	31.36900	20.68500	12.47100	0.06150	0.08450	0.09830	0.10200
24	228.07980	0.30702	0.19468	916.80700	607.33300	389.78600	238.09800	147.59900	98.30600	63.66700	38.99400	46.31600	31.34200	20.23600	12.68600	0.05720	0.07740	0.08840	0.09090
25	265.90384	0.76797	0.11369	2311.02700	1533.84300	987.16300	605.84400	367.04600	245.50300	158.79900	98.09900	115.02300	77.88200	50.47100	31.68500	0.06980	0.09590	0.11200	0.12030
26	115.03214	0.89678	0.08639	1149.98000	760.92200	489.32800	299.70200	183.24500	122.20600	79.15300	48.77400	57.56000	38.74200	25.63800	15.73500	0.06530	0.08900	0.10410	0.11080
27	350.76739	0.62817	0.02044	2388.38900	1587.33100	1022.73400	625.21200	378.77900	253.95500	164.50100	102.08300	118.93100	80.50800	52.40000	32.69600	0.08040	0.11280	0.13430	0.14540
28	63.01633	0.70500	0.17430	518.66500	342.96600	220.26400	133.71800	84.04100	55.76400	36.06800	21.94200	26.42700	17.78000	11.68600	6.97900	0.05180	0.06820	0.07480	0.07640
29	123.22065	1.16647	0.19403	1622.64100	1075.70300	691.73000	421.90300	259.19100	172.54800	112.78400	68.58500	81.01400	54.74500	35.31300	22.20100	0.05720	0.07560	0.08730	0.09110
30	210.48960	0.39402	0.19768	1037.05000	686.38600	441.59000	270.98800	166.38000	111.22000	71.87300	44.58000	52.79500	35.94500	23.01400	14.17900	0.05790	0.07750	0.08620	0.09040
31	230.59572	1.04585	0.18152	2724.03500	1808.67000	1167.16600	713.88800	431.30700	289.70400	187.28600	114.97400	134.32300	91.17200	60.00500	37.07000	0.06330	0.08580	0.09980	0.10560
32	139.64618	0.49349	0.04887	767.07200	509.94600	328.59400	201.67500	122.74300	82.40700	53.46200	32.83900	38.87200	26.47700	17.12400	10.55700	0.06760	0.09670	0.10940	0.11830
33	358.10144	0.87738	0.10909	3509.63200	2332.51500	1505.13300	918.31600	556.75900	373.27800	241.60100	148.04600	173.80600	117.13400	76.54200	47.78200	0.07270	0.09910	0.11490	0.12490
34	202.71952	0.68688	0.09631	1579.49600	1044.58800	672.41400	411.44100	252.09000	168.33900	108.65100	66.97100	78.87700	53.46100	35.02700	21.78200	0.06870	0.09310	0.10800	0.11520
35	80.37131	0.24998	0.16888	273.81300	181.56000	115.99900	70.30700	44.52700	29.61400	18.94300	11.68800	14.11600	9.41300	6.23600	3.72400	0.04660	0.05750	0.06480	0.06520
36	281.87147	0.69112	0.07783	2163.39500	1427.41300	923.83400	568.53700	343.87500	229.13300	149.20500	91.93200	108.06700	72.71400	47.64600	29.52800	0.07330	0.10150	0.11840	0.12830
37	132.09681	0.87394	0.17703	1321.70200	872.30800	559.60900	342.57400	211.52800	140.18100	90.95400	56.15500	66.23100	44.82100	29.10000	18.27300	0.05840	0.07790	0.08990	0.09320
38	153.26465	0.55398	0.11814	989.85300	658.31500	424.20300	260.02900	158.18500	106.44200	68.98300	42.62100	50.06400	33.70200	21.75800	13.52800	0.06220	0.08550	0.10010	0.10590
39	141.10132	0.46103	0.15321	790.39500	524.52200	335.74700	205.40900	126.28900	84.67200	54.56800	33.45300	40.00900	26.85400	17.62100	10.88500	0.05910	0.07870	0.08870	0.09510
40	87.54445	0.82865	0.14618	829.66200	550.22400	353.20300	214.65300	133.02400	88.98100	57.68400	35.16800	41.95700	28.41500	18.39700	11.42100	0.05730	0.07530	0.08620	0.08700
41	231.02023	0.61585	0.19305	1691.24200	1118.22100	720.13000	439.37400	269.38000	180.32600	117.15900	71.74600	84.69600	57.41000	37.14000	23.48000	0.06100	0.08250	0.09410	0.09870
42	144.55612	0.52001	0.15576	898.77700	592.24100	383.07500	235.45900	143.85300	96.27500	62.38600	38.50400	45.84400	30.60500	20.12700	12.53100	0.05870	0.07910	0.09050	0.09490
43	72.85637	0.23802	0.09124	222.10900	148.05200	94.27600	57.49400	36.09200	24.04300	15.60800	9.31100	11.52300	7.68800	5.09600	3.02800	0.05240	0.06860	0.07610	0.07770
44	259.08447	0.72550	0.15225	2173.43100	1441.84600	932.11800	574.69000	345.00600	231.49000	150.46600	93.02000	108.41100	73.43800	48.01600	29.93400	0.06610	0.08920	0.10380	0.10990
45	243.25600	0.84735	0.19222	2371.37000	1577.78500	1017.18000	624.29100	377.36800	252.74800	164.33400	101.40800	118.48100	80.06400	52.25400	32.77700	0.06260	0.08450	0.09600	0.10130
46	118.60581	1.15959	0.05740	1508.02700	1000.98800	643.83800	392.21700	239.17700	160.39800	103.24300	63.89900	75.32700	50.78300	32.92800	20.37700	0.06840	0.09460	0.11110	0.12190
47	279.06814	0.96791	0.17929	3071.30900	2039.86600	1313.01800	802.49600	485.64200	326.20700	211.24200	129.94800	152.40400	102.23200	66.97600	41.38900	0.06460	0.08720	0.10090	0.10750
48	160.24962	1.10991	0.07117	1942.84400	1287.12700	829.02600	511.34700	307.55300	206.18200	133.51300	83.00100	96.92200	65.23900	42.49900	26.70800	0.07090	0.09660	0.11420	0.12210
49	193.22945	0.64549	0.04824	1389.48700	927.29600	597.74600	367.27500	222.04700	148.61100	96.79400	60.11500	69.88900	47.33600	30.77400	19.41400	0.07280	0.10040	0.11870	0.12800
50	177.07844	0.80813	0.08666	1604.10000	1065.31500	686.60200	419.15700	255.60000	171.41400	111.14200	68.51000	80.07600	54.15800	35.07400	21.90400	0.06810	0.09370	0.10920	0.11590
51	254.05189	0.85494	0.14903	2463.92900	1632.01000	1049.05400	643.49500	390.36500	261.83600	169.09600	104.30900	122.51700	82.67200	54.12300	33.78900	0.06570	0.09030	0.10460	0.11010
52	305.18035	0.43249	0.17937	1603.54300	1064.18500	683.51600	418.63400	256.36900	171.00900	111.21300	68.59000	80.57500	54.48100	35.45100	21.76600	0.06350	0.08450	0.09770	0.10400
53	242.03009	0.32278	0.09673	935.69300	622.24000	404.08300	247.17800	151.11500	101.43700	65.87400	40.39400	47.70300	31.82900	21.16100	13.04200	0.06670	0.09050	0.10470	0.11330
54	264.01465	0.45074	0.08086	1362.96500	907.98600	584.00900	359.47300	218.09600	146.10600	95.13200	58.77200	69.14700	46.93100	30.25400	18.88100	0.07100	0.09890	0.11540	0.12340
55	238.78036	0.42250	0.15287	1215.92800	810.09500	520.72100	318.49700	194.38500	130.33700	84.06000	51.87200	61.32100	41.48200	27.01700	16.85000	0.06270	0.08610	0.09880	0.10590
56	109.62996	0.43944	0.05067	545.57100	363.41500	233.12900	142.36700	88.10500	58.91700	38.25500	23.86200	27.79500	18.74100	12.30500	7.59700	0.06600	0.09080	0.10700	0.11690
57	77.16132	0.39604	0.09523	375.92200	247.88400	158.85800	96.64700	60.75500	40.12800	26.00700	15.98000	19.33200	12.94700	8.27000	5.25500	0.05530	0.07490	0.08620	0.08620
58	101.53071	1.00033	0.11269	1138.20800	753.94400	485.27100	295.97700	182.17600	121.10700	78.59100	48.23800	57.09100	38.52800	25.21000	15.65000	0.06230	0.08560	0.09740	0.10310
59	147.83407	0.66072	0.16482	1135.79000	754.08900	483.70300	295.86400	181.87200	121.80300	78.93300	48.51700	57.20400	38.59800	25.20600	15.32500	0.05990	0.08010	0.09220	0.09660
60	301.10106	0.26422	0.13366	993.69500	661.74500	426.01700	262.05700	159.62100	107.22600	69.69200	43.16500	50.25000	34.04300	22.51100	13.77700	0.06480	0.08700	0.10390	0.10830
61	188.78593	0.24459	0.05159	537.13300	356.21000	229.56100	141.52400	86.93300	58.00800	37.80000	23.26100	27.55200	18.52800	12.28600	7.35200	0.06650	0.09280	0.11060	0.11470
62	105.34942	0.88686	0.18305	1082.77600	716.49800	461.10900	281.56700	173.14000	116.13100	74.53800	46.13800	54.14500	36.79700	23.98000	15.04800	0.05510	0.07370	0.08580	0.08680
63	293.08649	0.31952	0.11586	1143.13400	760.47600	489.94000	301.22600	182.98200	122.21300	79.42700	49.23400	57.39400	38.82600	25.77100	16.01200	0.06770	0.09210	0.10440	0.11210
64	274.17334	0.71483	0.13135	2210.35400	1475.02300	946.50000	576.05700	352.07100	236.28400	153.25700	93.90300	110.42400	74.99800	48.45300	30.09800	0.06870	0.09220	0.10790	0.11420
65	257.29597	0.84338	0.08168	2403.03100	1604.06900	1033.76200	630.79200	382.60500	256.93100	166.02900	102.86200	120.08200	80.92700	52.62500	32.86100	0.07170	0.09900	0.11630	0.12630
66	226.80798	0.40677	0.06887	1068.20000	712.54700	458.86900	282.14500	171.05300	114.93500	74.46200	46.04100	54.24800	36.72700	23.74000	14.62800	0.06980	0.09810	0.11410	0.12170
67	138.62089	1.17208	0.02381	1746.95000	1161.56300	749.63500	457.96200	277.59900	185.22700	121.09700	74.09200	86.91200	58.90000	38.65100	23.70600	0.07430	0.10320	0.12240	0.13240
68	84.12965	0.97664	0.08751	919.24100	612.18800	393.56900	238.37900	146.66600	98.68500	63.71500	39.00500	45.92500	30.88200	20.31600	12.48400	0.06160	0.08570	0.09880	0.10530
